Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  100   14704.00    5049.00       5049     5049
  110   17007.00    6104.00       6104     6104
  120   19360.00    7259.00       7259     7259
  130   22788.00    8514.00       8514     8514
  140   25829.00    9869.00       9869     9869
  150   29379.00    11324.00       11324     11324
  160   32489.00    12879.00       12879     12879
  170   35707.00    14534.00       14534     14534
  180   40619.00    16289.00       16289     16289
  190   44885.00    18144.00       18144     18144
  200   49350.00    20099.00       20099     20099
  210   53904.00    22154.00       22154     22154
  220   58704.00    24309.00       24309     24309
  230   62834.00    26564.00       26564     26564
  240   68328.00    28919.00       28919     28919
  250   73842.00    31374.00       31374     31374
  260   79306.00    33929.00       33929     33929
  270   85415.00    36584.00       36584     36584
  280   91211.00    39339.00       39339     39339
  290   96355.00    42194.00       42194     42194
  300   103222.00    45149.00       45149     45149
